protein,PC1loadings,PC2loadings
CHOYP_KCIP4.1.1.m.46682,0.00376909750218636,0.0035935219708662
CHOYP_AAEL_AAEL001706.1.1.m.43821,-0.0307006334714702,0.0459058513255713
CHOYP_AP3M2.1.1.m.43706,-0.000930122009392451,0.00117009205390903
CHOYP_KCMF1.1.1.m.62675,-0.00191834943701751,0.00444371078768891
CHOYP_KCP.3.13.m.17018,0.00551868929243367,0.00284436849282594
CHOYP_KCP.8.13.m.40457,0.0217793834553443,0.015446382723266
CHOYP_KCP.9.13.m.43409,0.0257231134474634,0.0158819005592213
CHOYP_KDEL1.1.1.m.62729,-0.00140751641987161,-0.00226541651396787
CHOYP_KDM1A.1.1.m.60229,-0.00297272216177012,0.00579996820921275
CHOYP_KDM1A.1.1.m.60230,0.00195650437809452,-0.0109001344838681
CHOYP_KDM5A.1.1.m.51935,-0.0105206266024671,0.00566938119012712
CHOYP_KHDR1.1.1.m.8878,-0.0014628970733903,-0.000887969252591489
CHOYP_KI11A.1.1.m.14576,-2.79498955679171e-05,0.00234995252687253
CHOYP_KI16B.1.3.m.42636,-0.00597817244925719,-0.00620548389299134
CHOYP_KIF2A.2.2.m.62686,0.000531990409162943,-0.00550119006821278
CHOYP_KIF2A.2.2.m.62688,-0.0016279584329825,-0.000823368121217202
CHOYP_KLH26.1.2.m.8792,-0.0146214104928054,-0.00930502954488528
CHOYP_KLH36.1.2.m.12244,0.000720024590319151,-0.00296749367380023
CHOYP_KLHDB.3.5.m.46662,0.0072172631597118,0.0144655692094073
CHOYP_KLHL24.2.4.m.18433,-0.00396865347027388,0.00324343972024691
CHOYP_KMO.1.2.m.17496,0.00409043214643938,0.0262833764590243
CHOYP_KPC1.2.2.m.37402,0.00212747030196443,0.0039656541992481
CHOYP_KPRB.1.1.m.17501,-0.0016846576124321,0.0046581929557957
CHOYP_API5.1.1.m.17066,0.001526061844562,-0.000589657252176739
CHOYP_KS6B1.1.1.m.8274,-0.0103958627170248,-0.0100151457217661
CHOYP_KSR2.1.1.m.9852,-0.00589943507047163,-0.00381727248078064
CHOYP_LA.1.1.m.65962,-0.00126251757525072,0.000927469252422282
CHOYP_LACB2.1.1.m.31957,-0.0132822407941436,0.00950722842696729
CHOYP_LAMC1.1.1.m.36098,-0.0379645198255789,0.0169221899901412
CHOYP_LAR.1.2.m.30133,-0.00520156567198189,0.004182447182093
CHOYP_LARP7.1.1.m.35019,0.00891457026041257,-0.00637187632024987
CHOYP_LC7L3.1.1.m.20705,-0.0013947240435516,0.000589216151544619
CHOYP_LEG4.1.1.m.22079,-0.00908952994207165,0.0203135492178612
CHOYP_LEMD3.1.1.m.56975,0.0135347640067459,0.0105378477155628
CHOYP_AQR.1.1.m.9127,-0.00392992791494687,0.00407223709508996
CHOYP_LEO1.1.1.m.41626,-0.0206018461635091,0.0246417585360513
CHOYP_LGR4.1.2.m.27343,0.0029281314728169,0.00116421732608304
CHOYP_LIAS.1.1.m.21693,-0.0242816902346487,-0.00971073374404299
